Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.1	consumer0	combined	Drop	0	0	0	0
0.1	consumer1	combined	Drop	0	0	0	0
0.1	router2	combined	Drop	0	0	0	0
0.1	router3	combined	Drop	0	0	0	0
0.1	router4	combined	Drop	0	0	0	0
0.2	consumer0	combined	Drop	0	0	0	0
0.2	consumer1	combined	Drop	0	0	0	0
0.2	router2	combined	Drop	0	0	0	0
0.2	router3	combined	Drop	0	0	0	0
0.2	router4	combined	Drop	0	0	0	0
0.3	consumer0	combined	Drop	0	0	0	0
0.3	consumer1	combined	Drop	0	0	0	0
0.3	router2	combined	Drop	0	0	0	0
0.3	router3	combined	Drop	0	0	0	0
0.3	router4	combined	Drop	0	0	0	0
0.4	consumer0	combined	Drop	0	0	0	0
0.4	consumer1	combined	Drop	0	0	0	0
0.4	router2	combined	Drop	0	0	0	0
0.4	router3	combined	Drop	0	0	0	0
0.4	router4	combined	Drop	0	0	0	0
0.5	consumer0	combined	Drop	0	0	0	0
0.5	consumer1	combined	Drop	0	0	0	0
0.5	router2	combined	Drop	0	0	0	0
0.5	router3	combined	Drop	0	0	0	0
0.5	router4	combined	Drop	0	0	0	0
0.6	consumer0	combined	Drop	0	0	0	0
0.6	consumer1	combined	Drop	0	0	0	0
0.6	router2	combined	Drop	0	0	0	0
0.6	router3	combined	Drop	0	0	0	0
0.6	router4	combined	Drop	0	0	0	0
0.7	consumer0	combined	Drop	0	0	0	0
0.7	consumer1	combined	Drop	0	0	0	0
0.7	router2	combined	Drop	0	0	0	0
0.7	router3	combined	Drop	0	0	0	0
0.7	router4	combined	Drop	0	0	0	0
0.8	consumer0	combined	Drop	0	0	0	0
0.8	consumer1	combined	Drop	0	0	0	0
0.8	router2	combined	Drop	0	0	0	0
0.8	router3	combined	Drop	0	0	0	0
0.8	router4	combined	Drop	0	0	0	0
0.9	consumer0	combined	Drop	0	0	0	0
0.9	consumer1	combined	Drop	0	0	0	0
0.9	router2	combined	Drop	0	0	0	0
0.9	router3	combined	Drop	0	0	0	0
0.9	router4	combined	Drop	0	0	0	0
1	consumer0	combined	Drop	0	0	0	0
1	consumer1	combined	Drop	0	0	0	0
1	router2	combined	Drop	0	0	0	0
1	router3	combined	Drop	0	0	0	0
1	router4	combined	Drop	0	0	0	0
1.1	consumer0	combined	Drop	0	0	0	0
1.1	consumer1	combined	Drop	0	0	0	0
1.1	router2	combined	Drop	0	0	0	0
1.1	router3	combined	Drop	0	0	0	0
1.1	router4	combined	Drop	0	0	0	0
1.2	consumer0	combined	Drop	0	0	0	0
1.2	consumer1	combined	Drop	0	0	0	0
1.2	router2	combined	Drop	0	0	0	0
1.2	router3	combined	Drop	0	0	0	0
1.2	router4	combined	Drop	0	0	0	0
1.3	consumer0	combined	Drop	0	0	0	0
1.3	consumer1	combined	Drop	0	0	0	0
1.3	router2	combined	Drop	0	0	0	0
